trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-238.635671539456,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-95.81957116719565,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.33744769366203,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-131.98018880049173,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-137.9258501859005,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-123.66510438105625,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-133.45353070514975,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-267.5812033685001,"{0: 16, 1: 2, 2: 4, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-134.2085347582035,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,1,-21.17034963746665,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-146.57978490108718,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-70.84202641700539,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-81.56085780384268,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-63.7901228014962,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-84.8541587514645,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-191.0482302478958,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-69.84415575803577,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-174.66030537839865,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-180.13115890242304,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-94.36178367653486,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.60703232516609,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-29.20924178908671,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-141.39634146374786,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.1867946052067,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.356653250314295,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.93435564528977,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-170.00042033437484,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.45949889710623,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,6,4.390005372890419,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.41061325459516,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
