trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.918, 'e': 0.918}",20,0,-69.55001028795097,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.918, 'e': 0.842724}",25,0,-99.26403540370637,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.918, 'e': 0.7736206320000001}",20,0,-82.67026252088375,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.918, 'e': 0.7101837401760002}",20,0,-33.54411438071656,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.918, 'e': 0.6519486734815682}",25,0,-35.23952661402259,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.918, 'e': 0.5984888822560795}",35,0,-198.14230259813098,"{0: 20, 1: 0, 2: 10, 3: 4, 4: 1}",0
7,False,"{'a': 0.918, 'e': 0.5494127939110811}",20,0,-136.1690094021968,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.918, 'e': 0.5043609448103724}",20,0,-79.27952824184882,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.918, 'e': 0.4630033473359219}",20,9,3.8169649336258784,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.918, 'e': 0.42503707285437636}",20,7,-2.837451261139213,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.918, 'e': 0.3901840328803175}",25,1,-4.09583292522537,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.918, 'e': 0.3581889421841315}",25,0,-82.36377188260363,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.918, 'e': 0.32881744892503273}",20,11,-22.537820391227022,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.918, 'e': 0.30185441811318003}",20,0,18.400043669303283,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.918, 'e': 0.27710235582789927}",25,0,-20.287389305225652,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.918, 'e': 0.25437996265001156}",30,20,17.376101890958466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.918, 'e': 0.2335208057127106}",25,15,10.553213655104017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.918, 'e': 0.21437209964426837}",20,11,-7.151423801296765,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.918, 'e': 0.19679358747343836}",25,13,22.072324785925638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.918, 'e': 0.1806565133006164}",25,9,19.07664287334344,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.918, 'e': 0.16584267920996587}",25,14,19.983660134927305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.918, 'e': 0.15224357951474868}",20,9,-22.914553254760975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.918, 'e': 0.1397596059945393}",20,9,15.531067663328312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.918, 'e': 0.12829931830298708}",35,21,20.963448867194497,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.918, 'e': 0.11777877420214215}",25,8,13.357719951673486,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
