trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.446126691346,"{0: 12, 1: 3, 2: 11, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.85635279632875,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.94529824010215,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.64509134968348,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.40006011573546,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.75212164503287,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.72400900230839,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.57872655797416,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.32620752818185,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.40046488366924,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.13841390746379,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.159172285733,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.4389800490195,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.52019344064595,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.10949058637932,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.09938092950256,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.71548859341686,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.82020646040598,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,13,-22.18040988243285,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-110.94219043024175,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-199.86305633596206,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.47377248087346,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.50494394442444,"{0: 10, 1: 2, 2: 12, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.4887024161483,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.39070041111552,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.37199416152322,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.91845942048192,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-213.54215565743087,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.47196443521946,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-286.84286398485153,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 5}",0
